,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1016,Lagvägen 45,"Ytterby,          Kungälvs kommun",16 maj 2019,161.0,,5.0,647 ,4700000.0
1017,Kareby kyrkväg 260,"Kareby,          Kungälvs kommun",14 maj 2019,170.0,228.0,5.0,2 934 ,3300000.0
1018,Halltorpsvägen 9,"Kode,          Kungälvs kommun",14 maj 2019,96.0,166.0,5.0,1 293 ,3800000.0
1019,Akvamarinvägen 6,"Kode,          Kungälvs kommun",13 maj 2019,98.0,193.0,5.0,780 ,3000000.0
1020,Norra Arödsvägen 12,"Bohuslän,          Kungälvs kommun",13 maj 2019,100.0,124.0,3.0,1 883 ,3100000.0
1021,Storskiftegatan 67,"Ytterby,          Kungälvs kommun",12 maj 2019,117.0,166.0,5.0,921 ,5130000.0
1022,Tegskiftegatan 70,"Ytterby,          Kungälvs kommun",10 maj 2019,117.0,234.0,7.0,1 020 ,5140000.0
1023,Oskarsberg 130,"Kareby,          Kungälvs kommun",10 maj 2019,135.0,151.0,4.0,2 796 ,3300000.0
1024,Jägersberg 340,"Bohuslän,          Kungälvs kommun",9 maj 2019,146.0,176.0,5.0,29 613 ,5750000.0
1025,Kristinedalsgatan 5,"Bohuslän,          Kungälvs kommun",8 maj 2019,137.0,204.0,5.0,701 ,6700000.0
1026,Kyrkeby 290,"Kärna - Harestad,          Kungälvs kommun",6 maj 2019,146.0,,5.0,3 580 ,4510000.0
1027,Vallvägen 12,"Kareby,          Kungälvs kommun",6 maj 2019,,,7.0,2 819 ,8345000.0
1028,Ragnhildsgatan 2,"Centralt,          Kungälvs kommun",4 maj 2019,115.0,168.0,5.0,775 ,4100000.0
1029,Rådalsvägen 25,"Aröd,          Kungälvs kommun",2 maj 2019,88.0,,4.0,1 462 ,2600000.0
1030,Prästbol 120,"Kode,          Kungälvs kommun",30 april 2019,98.0,,5.0,1 380 ,3400000.0
1031,Hällristningsgatan 12,"Stället,          Kungälvs kommun",30 april 2019,107.0,,4.0,560 ,4450000.0
1032,Ängsgatan 28B,"Centrum,          Kungälvs kommun",29 april 2019,84.0,,4.0,136 ,2800000.0
1033,Ljungvägen  28,"Ödsmålsmosse vid Rörtången,          Kungälvs kommun",27 april 2019,85.0,,4.0,388 ,3300000.0
1034,Kristinedalsgatan 3,"Centrum,          Kungälvs kommun",26 april 2019,87.0,169.0,5.0,1 231 ,5500000.0
1035,Broberg 120,"Tjuvkil,          Kungälvs kommun",24 april 2019,85.0,103.0,3.0,2 064 ,3075000.0
1036,Hallbjörtorp 490,"Kärna,          Kungälvs kommun",19 april 2019,150.0,,5.0,1 497 ,4100000.0
1037,Häljeröd 400,"Romelanda,          Kungälvs kommun",19 april 2019,89.0,178.0,4.0,1 181 ,2935000.0
1038,Önneröd 174,"Kärna,          Kungälvs kommun",19 april 2019,145.0,,5.0,4 308 ,4675000.0
1039,Grindvakten 2,"Grinden,          Kungälvs kommun",18 april 2019,121.0,,4.0,396 ,3900000.0
1040,Vältvägen 515,"Ullstorp,          Kungälvs kommun",18 april 2019,121.0,,5.0,371 ,5125000.0
1041,Tolleröd 160,"Kode,          Kungälvs kommun",17 april 2019,104.0,152.0,5.0,1 582 ,3400000.0
1042,Bokvägen 11,"Fontin,          Kungälvs kommun",15 april 2019,112.0,129.0,5.0,600 ,5325000.0
1043,Hällristningsgatan 22,"Ytterby,          Kungälvs kommun",15 april 2019,103.0,,4.0,264 ,3950000.0
1044,Kuskalundsvägen 5,"Hålta,          Kungälvs kommun",14 april 2019,75.0,95.0,3.0,1 776 ,2800000.0
1045,Prästbol 185,"Aröd,          Kungälvs kommun",14 april 2019,129.0,,4.0,2 008 ,5400000.0
1046,Munkholmsgatan 5,"Kungälv,          Kungälvs kommun",12 april 2019,117.0,167.0,4.0,759 ,4550000.0
1047,Plommeröd 160,"Romelanda,          Kungälvs kommun",11 april 2019,59.0,,3.0,1 418 ,1580000.0
1048,Gunneröd 320,"Kärna Lycke,          Kungälvs kommun",11 april 2019,145.0,,5.0,1 144 ,3550000.0
1049,Skrivarevägen 48,"Ytterby,          Kungälvs kommun",2 april 2019,104.0,,4.0,167 ,2995000.0
1050,Brunnefjällsvägen  18,"Kärna,          Kungälvs kommun",1 april 2019,83.0,,3.0,1 196 ,3000000.0
1051,Dannemarksgatan 4,"Tega - Ytterby,          Kungälvs kommun",1 april 2019,112.0,263.0,6.0,990 ,4710000.0
1052,Alekärr 110,"Diseröd,          Kungälvs kommun",31 mars 2019,118.0,267.0,6.0,1 611 ,3500000.0
1053,Duvesjön 460,"Duvesjön,          Kungälvs kommun",29 mars 2019,64.0,,3.0,1 986 ,2260000.0
1054,Solvagnsgatan 22,"Ytterby - Stället,          Kungälvs kommun",25 mars 2019,139.0,151.0,5.0,370 ,5000000.0
1055,Lagvägen 27,"Ytterby,          Kungälvs kommun",25 mars 2019,110.0,148.0,6.0,692 ,3810000.0
1056,Grannebydal 260,"Hålta,          Kungälvs kommun",21 mars 2019,120.0,,4.0,1 574 ,2300000.0
1057,Solvagnsgatan 32,"Ytterby,          Kungälvs kommun",17 mars 2019,138.0,,5.0,385 ,5200000.0
1058,Hammar 510,"Kode,          Kungälvs kommun",15 mars 2019,143.0,283.0,,3 324 ,3900000.0
1059,Skolstigen 2,"Kungälv,          Kungälvs kommun",13 mars 2019,150.0,170.0,7.0,1 080 ,4570000.0
1060,Munkegärdegatan 99,"Blodriskan,          Kungälvs kommun",6 mars 2019,134.0,159.0,5.0,345 ,4350000.0
1061,Kyrkeby 220,"Harestad,          Kungälvs kommun",4 mars 2019,109.0,,4.0,6 999 ,4750000.0
1062,Kulperödsvägen 35,"Bohuslän,          Kungälvs kommun",1 mars 2019,143.0,,5.0,3 089 ,4050000.0
1063,Tjäderstigen  4,"Kungälv - Centralt,          Kungälvs kommun",28 februari 2019,126.0,,4.0,362 ,4285000.0
1064,Flateby 450,"Harestad,          Kungälvs kommun",28 februari 2019,163.0,281.0,8.0,1 351 ,3630000.0
1065,Bergkristallvägen 18,"Kode,          Kungälvs kommun",27 februari 2019,127.0,,6.0,608 ,4400000.0
1066,Prästvägen 710,"Romelanda,          Kungälvs kommun",27 februari 2019,166.0,186.0,8.0,1 034 ,4300000.0
1067,Granndalen 14,"Bohuslän,          Kungälvs kommun",24 februari 2019,70.0,124.0,4.0,1 229 ,2995000.0
1068,Ranneberg  154,"Kärna,          Kungälvs kommun",22 februari 2019,165.0,,4.0,2 381 ,5200000.0
1069,Kvarnvägen 22,"Kode,          Kungälvs kommun",21 februari 2019,68.0,136.0,5.0,1 318 ,3570000.0
1070,Lingonvägen 43,"Centralt,          Kungälvs kommun",18 februari 2019,126.0,,5.0,383 ,4050000.0
1071,Hamngatan 11,"Centralt,          Kungälvs kommun",15 februari 2019,84.0,178.0,3.0,636 ,4890000.0
1072,Rönnvägen  22,"Romelanda,          Kungälvs kommun",14 februari 2019,108.0,178.0,5.0,823 ,3375000.0
1073,Lyckevägen  9,"Kärna,          Kungälvs kommun",14 februari 2019,190.0,340.0,9.0,2 284 ,4300000.0
1074,Ekvägen 12,"Ytterby,          Kungälvs kommun",14 februari 2019,125.0,208.0,6.0,770 ,4000000.0
1075,Rostock 362,"Bohuslän,          Kungälvs kommun",13 februari 2019,,,5.0,1 070 ,4650000.0
1076,Tjuvkil 460,"Tjuvkil,          Kungälvs kommun",12 februari 2019,115.0,135.0,4.0,1 231 ,3900000.0
1077,Sjöhed 310,"Kärna - Harestad,          Kungälvs kommun",11 februari 2019,103.0,184.0,5.0,1 208 ,3700000.0
1078,Galärgatan 3,"Komarken,          Kungälvs kommun",11 februari 2019,108.0,173.0,4.0,628 ,4200000.0
1079,Bastövägen 4,"Överön - Kärna,          Kungälvs kommun",8 februari 2019,100.0,160.0,6.0,2 786 ,4995000.0
1080,Furuvägen 1,"Diseröd,          Kungälvs kommun",7 februari 2019,108.0,140.0,5.0,742 ,2795000.0
1081,Prejelvägen 112,"Centrum,          Kungälvs kommun",7 februari 2019,142.0,,5.0,382 ,5300000.0
1082,Hallsbrovägen  14,"Kärna,          Kungälvs kommun",4 februari 2019,145.0,206.0,6.0,2 108 ,3700000.0
1083,Nämndemansvägen  12,"Ytterby,          Kungälvs kommun",1 februari 2019,152.0,,6.0,680 ,3895000.0
1084,Lyckevägen 3,"Kärna,          Kungälvs kommun",1 februari 2019,120.0,192.0,5.0,2 857 ,3770000.0
1085,Häradsvägen 24,"Ytterby,          Kungälvs kommun",1 februari 2019,130.0,,5.0,342 ,3387500.0
1086,Backsippegatan  4,"Ytterby - Tornhaga,          Kungälvs kommun",30 januari 2019,115.0,,5.0,577 ,3300000.0
1087,Rishammar 262,"Kareby,          Kungälvs kommun",30 januari 2019,186.0,,6.0,5 205 ,4550000.0
1088,Vitsippegatan 4,"Ytterby - Tornhaga,          Kungälvs kommun",27 januari 2019,189.0,,8.0,626 ,4700000.0
1089,Galeasgatan 17,"Centrum,          Kungälvs kommun",24 januari 2019,189.0,289.0,6.0,574 ,5425000.0
1090,Vältvägen 509,"Ullstorp,          Kungälvs kommun",22 januari 2019,105.0,,4.0,319 ,4550000.0
1091,Gategården 250,"Hålta,          Kungälvs kommun",21 januari 2019,140.0,166.0,5.0,1 500 ,3990000.0
1092,Rondan 37,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",21 januari 2019,80.0,,4.0,1 617 ,2850000.0
1093,Kantorvägen 3,"Diseröd centrum,          Kungälvs kommun",20 januari 2019,165.0,179.0,5.0,761 ,4100000.0
1094,Hemvägen  15,"Romelanda,          Kungälvs kommun",19 januari 2019,119.0,138.0,5.0,398 ,3550000.0
1095,Tvetgatan 43,"Tveten,          Kungälvs kommun",18 januari 2019,109.0,,5.0,156 ,3450000.0
1096,Rörmossevägen  120,"Bohuslän,          Kungälvs kommun",17 januari 2019,170.0,251.0,5.0,4 070 ,4575000.0
1097,Parkgatan 11,"Bohuslän,          Kungälvs kommun",15 januari 2019,260.0,,9.0,513 ,6700000.0
1098,Kristiansborg 170,"Tjuvkil,          Kungälvs kommun",11 januari 2019,77.0,132.0,6.0,1 295 ,3700000.0
1099,Vena 328,"Ytterby - Vena,          Kungälvs kommun",8 januari 2019,125.0,,5.0,1 520 ,4100000.0
1100,Bergkristallvägen 15,"Kode,          Kungälvs kommun",4 januari 2019,140.0,,6.0,479 ,4330000.0
1101,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",30 december 2018,90.0,,3.0,1 007 ,3000000.0
1102,Prästvägen 676,"Romelanda,          Kungälvs kommun",28 december 2018,222.0,,5.0,1 329 ,4150000.0
1103,Ranneberg  154,"Kärna,          Kungälvs kommun",27 december 2018,165.0,,4.0,2 381 ,5200000.0
1104,Ranneberg 155,"Kärna,          Kungälvs kommun",20 december 2018,155.0,197.0,,2 299 ,4500000.0
1105,Skålldal 140,"Bohuslän,          Kungälvs kommun",20 december 2018,266.0,308.0,8.0,1 036 ,4300000.0
1106,Mariedalsvägen 1,"Kode,          Kungälvs kommun",19 december 2018,63.0,,2.0,3 432 ,1825000.0
1107,Mårdgatan 22,"Kungälv Centralt,          Kungälvs kommun",19 december 2018,158.0,,6.0,940 ,5900000.0
1108,Enskiftegatan 5,"Ytterby,          Kungälvs kommun",18 december 2018,194.0,,7.0,884 ,4800000.0
1109,Kvarndalsvägen 8C,"Lökeberg,          Kungälvs kommun",18 december 2018,155.0,,5.0,1 659 ,7050000.0
1110,Broberg 190,"Tjuvkil,          Kungälvs kommun",17 december 2018,67.0,,4.0,1 755 ,2000000.0
1111,Källeröd 210,"Kareby,          Kungälvs kommun",16 december 2018,121.0,280.0,5.0,2 455 ,2550000.0
1112,Alelyckans väg 12,"Aröd,          Kungälvs kommun",12 december 2018,154.0,166.0,6.0,1 392 ,3950000.0
1113,Kristinedalsgatan 5,"Kungälv,          Kungälvs kommun",8 december 2018,152.0,219.0,5.0,701 ,6650000.0
1114,Bollestad 152,"Ytterby,          Kungälvs kommun",7 december 2018,169.0,243.0,7.0,1 762 ,4500000.0
1115,Lingonvägen 41,"Jordliden Munkegärde,          Kungälvs kommun",7 december 2018,115.0,,5.0,399 ,4275000.0
1116,Häradsvägen 62,"Ytterby,          Kungälvs kommun",3 december 2018,130.0,,7.0,390 ,3800000.0
1117,Hammar 375,"Bohuslän,          Kungälvs kommun",1 december 2018,98.0,163.0,6.0,2 371 ,4630000.0
1118,Skogsvägen  20,"Ingetorp,          Kungälvs kommun",29 november 2018,101.0,,5.0,1 318 ,2715000.0
1119,Harkeröd 310,"Hålta,          Kungälvs kommun",29 november 2018,71.0,130.0,5.0,1 245 ,3050000.0
1120,Prästbol 165,"Aröd,          Kungälvs kommun",28 november 2018,171.0,,6.0,2 805 ,5700000.0
1121,Duvesjön 374,"Duvesjön,          Kungälvs kommun",27 november 2018,110.0,,4.0,1 000 ,3590000.0
1122,Ulvebackegatan 28,"Bohuslän,          Kungälvs kommun",26 november 2018,128.0,160.0,6.0,793 ,4750000.0
1123,Hammar 310,"Bohuslän,          Kungälvs kommun",23 november 2018,124.0,,5.0,1 035 ,3200000.0
1124,Rostock 364,"Romelanda,          Kungälvs kommun",23 november 2018,,,5.0,1 148 ,5100000.0
1125,Stenåldersgatan 6,"Ytterby,          Kungälvs kommun",23 november 2018,104.0,,4.0,318 ,3725000.0
1126,Torp 310,"Kareby,          Kungälvs kommun",21 november 2018,149.0,227.0,6.0,3 051 ,4300000.0
1127,Tyftervägen 20,"Bohuslän,          Kungälvs kommun",21 november 2018,154.0,167.0,5.0,572 ,4300000.0
1128,Harkvägen 357,"Ullstorp,          Kungälvs kommun",20 november 2018,111.0,,4.0,572 ,5000000.0
1129,Grindklykan 27,"Grinden,          Kungälvs kommun",18 november 2018,112.0,,4.0,546 ,4400000.0
1130,Häggvägen 10,"Ytterby,          Kungälvs kommun",18 november 2018,101.0,202.0,5.0,851 ,4170000.0
1131,Hemmansgatan 11,"Tega,          Kungälvs kommun",18 november 2018,133.0,144.0,5.0,756 ,3900000.0
1132,Komministergatan 3,"Kungälv - Centrum,          Kungälvs kommun",14 november 2018,120.0,200.0,7.0,678 ,5950000.0
1133,Djupuddsvägen  30,"Instön,          Kungälvs kommun",12 november 2018,135.0,150.0,3.0,1 336 ,4800000.0
1134,Staby 130,"Kärna,          Kungälvs kommun",9 november 2018,109.0,191.0,5.0,9 529 ,4020000.0
1135,Munkegärdegatan 253,"Munkegärde,          Kungälvs kommun",9 november 2018,134.0,244.0,7.0,899 ,5750000.0
1136,Rosenstensvägen 6,"Kode,          Kungälvs kommun",9 november 2018,123.0,,5.0,485 ,3700000.0
1137,Nerebyskogens väg 14,"Kärna - Harestad,          Kungälvs kommun",5 november 2018,33.0,,2.0,1 821 ,1380000.0
1138,Bergåsvägen 22,"Ytterby,          Kungälvs kommun",1 november 2018,153.0,193.0,7.0,710 ,4500000.0
1139,Nordängen 10,"Sundhammar,          Kungälvs kommun",30 oktober 2018,174.0,190.0,5.0,1 331 ,4900000.0
1140,Apelviksgatan 7,"Centrum,          Kungälvs kommun",29 oktober 2018,125.0,250.0,5.0,445 ,4750000.0
1141,Ranneberg 170,"Romelanda,          Kungälvs kommun",29 oktober 2018,90.0,,4.0,1 265 ,1960000.0
1142,Vesslegatan 3,"Olseröd,          Kungälvs kommun",28 oktober 2018,131.0,143.0,4.0,376 ,4500000.0
1143,Bärnstensvägen 6,"Kode,          Kungälvs kommun",26 oktober 2018,93.0,185.0,5.0,1 009 ,3250000.0
1144,Solvagnsgatan 7,"Kungälv,          Kungälvs kommun",26 oktober 2018,137.0,145.0,6.0,362 ,5175000.0
1145,Hallsbrovägen 3,"Bohuslän,          Kungälvs kommun",25 oktober 2018,74.0,,3.0,1 801 ,2500000.0
1146,Tjäderstigen 8,"Centralt - Kungälv,          Kungälvs kommun",24 oktober 2018,126.0,,4.0,362 ,4300000.0
1147,Tegskiftegatan 50,"Ytterby,          Kungälvs kommun",23 oktober 2018,112.0,169.0,5.0,856 ,4000000.0
1148,Fontinvägen 12,"Centralt - Kungälv,          Kungälvs kommun",22 oktober 2018,231.0,,9.0,1 269 ,6600000.0
1149,Skårby station 355,"Kareby,          Kungälvs kommun",19 oktober 2018,150.0,,4.0,2 260 ,4140000.0
1150,Häljeröd 120,"Romelanda Diseröd,          Kungälvs kommun",18 oktober 2018,193.0,,5.0,15 148 ,6100000.0
1151,Ellesbovägen 204,"Kungälv,          Kungälvs kommun",17 oktober 2018,75.0,123.0,5.0,1 062 ,3000000.0
1152,Olserödsgatan 106,"Olseröd,          Kungälvs kommun",15 oktober 2018,170.0,190.0,5.0,1 227 ,6000000.0
1153,Äslingsvägen 7,"Tjuvkil,          Kungälvs kommun",12 oktober 2018,120.0,,5.0,1 285 ,4100000.0
1154,Åsebyberg 855,"Kode,          Kungälvs kommun",11 oktober 2018,129.0,147.0,5.0,4 105 ,3850000.0
1155,Solvagnsgatan 30,"Stället,          Kungälvs kommun",5 oktober 2018,138.0,,5.0,479 ,5275000.0
1156,Guntorpsvägen 24,"Kode,          Kungälvs kommun",4 oktober 2018,110.0,210.0,5.0,1 065 ,2975000.0
1157,Lerlycke 250,"Kärna,          Kungälvs kommun",3 oktober 2018,130.0,218.0,5.0,1 020 ,3700000.0
1158,Olvonvägen 23,"Diseröd,          Kungälvs kommun",2 oktober 2018,222.0,320.0,7.0,1 000 ,3600000.0
1159,Bockebergsvägen 2,"Lycke,          Kungälvs kommun",28 september 2018,49.0,59.0,4.0,1 386 ,1850000.0
1160,Lerskärsvägen 21,"Tjuvkil,          Kungälvs kommun",27 september 2018,120.0,160.0,4.0,1 299 ,4700000.0
1161,Valtersäng 35,"Centralt,          Kungälvs kommun",27 september 2018,159.0,199.0,6.0,650 ,6120000.0
1162,Råckeröd 200,"Kärna,          Kungälvs kommun",25 september 2018,120.0,,5.0,1 192 ,3150000.0
1163,Västra gatan 26A,"Centralt,          Kungälvs kommun",25 september 2018,149.0,170.0,6.0,316 ,5500000.0
1164,Gamla Kungälvsvägen 13,"Ytterby,          Kungälvs kommun",24 september 2018,176.0,263.0,8.0,1 862 ,6800000.0
1165,Havregången 12,"Kungälv centralt,          Kungälvs kommun",19 september 2018,125.0,,5.0,496 ,4000000.0
1166,Lerskärsvägen 50,"Lycke,          Kungälvs kommun",13 september 2018,93.0,186.0,5.0,1 221 ,3750000.0
1167,Rubinvägen 6,"Kode,          Kungälvs kommun",11 september 2018,108.0,222.0,5.0,1 123 ,3650000.0
1168,Bastubäcksvägen 11,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",11 september 2018,78.0,93.0,3.0,1 225 ,3100000.0
1169,Glose 110,"Glose,          Kungälvs kommun",10 september 2018,150.0,180.0,5.0,3 157 ,4500000.0
1170,Bokvägen 3,"Kungälv centralt, Fontin.,          Kungälvs kommun",9 september 2018,184.0,312.0,8.0,781 ,5350000.0
1171,Livelycke 290,"Bohuslän,          Kungälvs kommun",8 september 2018,163.0,,6.0,2 941 ,3820000.0
1172,Lilla Dalvägen 5,"Ödsmålsmosse,          Kungälvs kommun",6 september 2018,36.0,,2.0,1 667 ,965000.0
1173,Grepvägen 403,"Ullstorp,          Kungälvs kommun",5 september 2018,121.0,,5.0,526 ,5250000.0
1174,Vävra 380,"Hålta,          Kungälvs kommun",5 september 2018,49.0,,2.0,1 514 ,2260000.0
1175,Stenåldersgatan 11,"Ytterby,          Kungälvs kommun",5 september 2018,103.0,,4.0,440 ,3900000.0
1176,Storskiftegatan 11,"Ytterby,          Kungälvs kommun",4 september 2018,90.0,130.0,4.0,188 ,3375000.0
1177,Vältvägen 505,"Bohuslän,          Kungälvs kommun",3 september 2018,121.0,130.0,5.0,250 ,4800000.0
1178,Lilla Fjellsholmen 14,"Lilla Fjellsholmen,          Kungälvs kommun",31 augusti 2018,86.0,,4.0,418 ,6700000.0
1179,Hammarhöjden 695,"Kode,          Kungälvs kommun",30 augusti 2018,83.0,111.0,3.0,1 053 ,2750000.0
1180,Kärnavägen 16,"Kärna,          Kungälvs kommun",30 augusti 2018,171.0,254.0,7.0,695 ,4120000.0
1181,Klintegatan 17,"Centralt - Kungälv,          Kungälvs kommun",30 augusti 2018,125.0,176.0,7.0,704 ,7350000.0
1182,Stenåldersgatan 53,"Ytterby - Stället,          Kungälvs kommun",30 augusti 2018,107.0,,5.0,381 ,4050000.0
1183,Grepvägen 391,"Ullstorp,          Kungälvs kommun",29 augusti 2018,121.0,128.0,5.0,431 ,4850000.0
1184,Duvesjön 310,"Duvesjön,          Kungälvs kommun",29 augusti 2018,101.0,,4.0,1 454 ,2800000.0
1185,Torsby 132,"Kärna,          Kungälvs kommun",29 augusti 2018,169.0,,7.0,1 731 ,4550000.0
1186,Kristinedalsgatan 7,"Centrum,          Kungälvs kommun",25 augusti 2018,178.0,263.0,6.0,857 ,7125000.0
1187,Åsebyberg 745,"Åsebyberg,          Kungälvs kommun",24 augusti 2018,110.0,,4.0,1 776 ,1130000.0
1188,Korpvägen 259,"KUNGÄLV,          Kungälvs kommun",24 augusti 2018,139.0,157.0,6.0,437 ,5500000.0
1189,Ställets bygata 76,"YTTERBY,          Kungälvs kommun",17 augusti 2018,147.0,,6.0,1 070 ,4925000.0
1190,Skeppsholmsgatan 2,"Centrum,          Kungälvs kommun",15 augusti 2018,121.0,,5.0,913 ,6300000.0
1191,Jägersberg 244,"Kode,          Kungälvs kommun",10 augusti 2018,120.0,,3.0,2 003 ,3850000.0
1192,Hammarhöjden 670,"Kode,          Kungälvs kommun",9 augusti 2018,100.0,147.0,2.0,1 090 ,3230000.0
1193,Saltskärsvägen 10,"Tjuvkil,          Kungälvs kommun",29 juli 2018,64.0,,2.0,3 440 ,2300000.0
1194,Duvesjön 313,"Duvesjön,          Kungälvs kommun",26 juli 2018,87.0,,3.0,1 191 ,3300000.0
1195,Byvägen 18,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",18 juli 2018,60.0,102.0,4.0,1 509 ,1850000.0
1196,Guntorpsvägen 2,"Kode,          Kungälvs kommun",17 juli 2018,129.0,199.0,7.0,734 ,3150000.0
1197,Tjuvkil 510,"Tjuvkil,          Kungälvs kommun",12 juli 2018,90.0,188.0,4.0,2 575 ,2550000.0
1198,Lundby 475,"Kareby,          Kungälvs kommun",10 juli 2018,141.0,,5.0,2 024 ,4680000.0
1199,Gunneröd 200,"Lycke,          Kungälvs kommun",9 juli 2018,58.0,83.0,2.0,789 ,2400000.0
1200,Bufferöd 150,"Kungälv - Hålta,          Kungälvs kommun",7 juli 2018,130.0,260.0,6.0,1 209 ,4550000.0
1201,Bäckliden 6A,"Bohuslän,          Kungälvs kommun",6 juli 2018,116.0,,6.0,880 ,5710000.0
1202,Dösebacka 310,"Romelanda,          Kungälvs kommun",6 juli 2018,102.0,199.0,4.0,949 ,3450000.0
1203,Tegskiftegatan 20,"Ytterby,          Kungälvs kommun",6 juli 2018,102.0,204.0,6.0,969 ,4525000.0
1204,Fjällsholmen 360,"KÄRNA,          Kungälvs kommun",1 juli 2018,62.0,,3.0,1 780 ,3110000.0
1205,Glöskär 640,"Bohuslän,          Kungälvs kommun",30 juni 2018,72.0,,3.0,3 456 ,3800000.0
1206,Skårby mosse 930,"Kareby,          Kungälvs kommun",21 juni 2018,167.0,187.0,7.0,1 299 ,3800000.0
1207,Lundby 502,"Kareby,          Kungälvs kommun",21 juni 2018,137.0,,4.0,4 214 ,4550000.0
1208,Helgonagatan 50,"Munkegärde,          Kungälvs kommun",15 juni 2018,117.0,,4.0,2 003 ,3890000.0
1209,Heavägen 15,"Lycke,          Kungälvs kommun",15 juni 2018,177.0,,6.0,2 041 ,5000000.0
1210,Klåverön 460,"Marstrand,          Kungälvs kommun",15 juni 2018,76.0,152.0,4.0,2 303 ,4300000.0
1211,Dannemarksgatan 42,"Ytterby,          Kungälvs kommun",14 juni 2018,148.0,,6.0,641 ,4800000.0
1212,Dösebacka 630,"Diseröd,          Kungälvs kommun",13 juni 2018,84.0,168.0,4.0,1 407 ,2000000.0
1213,Bergsgatan 2,"Marstrand - Koön,          Kungälvs kommun",13 juni 2018,118.0,200.0,6.0,892 ,8600000.0
1214,Flateby 120,"Kärna,          Kungälvs kommun",10 juni 2018,167.0,,6.0,2 039 ,3150000.0
1215,Väktaregatan 9,"Bohuslän,          Kungälvs kommun",8 juni 2018,166.0,249.0,8.0,538 ,5300000.0
1216,Lundby 220,"Kareby,          Kungälvs kommun",7 juni 2018,146.0,191.0,5.0,1 943 ,4650000.0
1217,Bremnäs 450,"Lycke,          Kungälvs kommun",6 juni 2018,52.0,,2.0,1 616 ,2400000.0
1218,Skrivarevägen 6,"Tunge,          Kungälvs kommun",5 juni 2018,104.0,,4.0,162 ,3400000.0
1219,Gunneröd 130,"Lycke,          Kungälvs kommun",4 juni 2018,47.0,,2.0,1 333 ,1700000.0
1220,Bastövägen 12,"Kärna,          Kungälvs kommun",3 juni 2018,80.0,160.0,6.0,1 024 ,4200000.0
1221,Kuskalundsvägen 39,"Bohuslän,          Kungälvs kommun",2 juni 2018,59.0,72.0,3.0,1 745 ,2270000.0
1222,Korpedalsvägen 3,"Aröd,          Kungälvs kommun",2 juni 2018,115.0,200.0,5.0,993 ,3720000.0
1223,Nämndemansvägen 13,"Ytterby,          Kungälvs kommun",1 juni 2018,141.0,,7.0,939 ,4700000.0
1224,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",31 maj 2018,44.0,,3.0,885 ,1500000.0
1225,Fjällsholmen 190,"Marstrand,          Kungälvs kommun",31 maj 2018,80.0,,4.0,2 750 ,5200000.0
1226,Järpstigen 2,"Skälebräcke,          Kungälvs kommun",30 maj 2018,128.0,,5.0,743 ,4675000.0
1227,Solberga 790,"Kode,          Kungälvs kommun",30 maj 2018,70.0,130.0,4.0,1 380 ,3550000.0
1228,Kulperödsvägen 31,"Gullbringa,          Kungälvs kommun",29 maj 2018,148.0,,5.0,2 678 ,1500000.0
1229,Vrångholmen 150,"Marstrand/Kråkerön,          Kungälvs kommun",25 maj 2018,185.0,219.0,6.0,2 207 ,11000000.0
1230,Hemmansgatan 7,"Ytterby,          Kungälvs kommun",25 maj 2018,155.0,,6.0,875 ,4500000.0
1231,Bäckvägen 10,"Lökeberg,          Kungälvs kommun",24 maj 2018,55.0,60.0,4.0,1 091 ,3910000.0
1232,Rörmossevägen 240,"Rörmossen,          Kungälvs kommun",22 maj 2018,58.0,73.0,3.0,5 170 ,2215000.0
1233,Lievägen 228,"Kungälv Ullstorp,          Kungälvs kommun",22 maj 2018,125.0,135.0,4.0,250 ,4750000.0
1234,Lökebergsvägen 18,"Lökeberg,          Kungälvs kommun",22 maj 2018,110.0,175.0,4.0,55 368 ,6225000.0
1235,Hermansby 228,"Kärna,          Kungälvs kommun",17 maj 2018,165.0,223.0,5.0,1 503 ,5825000.0
1236,Gräsgången 6,"Kungälv,          Kungälvs kommun",17 maj 2018,125.0,,4.0,514 ,3900000.0
1237,Gategården 260,"Risby/Hålta,          Kungälvs kommun",17 maj 2018,120.0,191.0,5.0,2 337 ,5020000.0
1238,Brunnefjäll 110,"Kärna,          Kungälvs kommun",16 maj 2018,121.0,306.0,6.0,2 124 ,3750000.0
1239,Sandvik 110,"HARESTAD,          Kungälvs kommun",16 maj 2018,153.0,189.0,5.0,998 ,3400000.0
1240,Galeasgatan 15,"Kungälv,          Kungälvs kommun",14 maj 2018,103.0,167.0,5.0,610 ,3500000.0
1241,Fasanstigen 8,"Skälebräcke,          Kungälvs kommun",7 maj 2018,128.0,,5.0,362 ,4250000.0
1242,Brunnefjäll 190,"Kärna,          Kungälvs kommun",7 maj 2018,83.0,133.0,4.0,1 536 ,2810000.0
1243,Enekullsvägen 32,"Ytterby,          Kungälvs kommun",6 maj 2018,101.0,121.0,4.0,807 ,3570000.0
