,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
71,Spaghamnsvägen 7,"Tjuvkil,          Kungälvs kommun",17 maj 2023,110.0,,5.0,1 664 ,5000000.0
72,Östergårdsgatan 3,"Ytterby,          Kungälvs kommun",17 maj 2023,215.0,277.0,7.0,1 020 ,4860000.0
73,Romelanda nedergård 160,"Romelanda,          Kungälvs kommun",16 maj 2023,139.0,,5.0,1 196 ,2625000.0
74,Toreby 240,"Kärna,          Kungälvs kommun",15 maj 2023,89.0,178.0,5.0,1 245 ,3405000.0
75,Murhammarvägen 12,"Kungälv - Kareby,          Kungälvs kommun",12 maj 2023,174.0,191.0,6.0,700 ,5200000.0
76,Kämpegatan 4,"Kungälv Centrum,          Kungälvs kommun",8 maj 2023,128.0,171.0,5.0,1 160 ,5000000.0
77,Vesslegatan 14,"Olseröd,          Kungälvs kommun",7 maj 2023,159.0,176.0,5.0,349 ,5550000.0
78,Bastubäcksvägen 26,"Kode,          Kungälvs kommun",4 maj 2023,44.0,80.0,4.0,1 199 ,1775000.0
79,Karantänsgatan 9,"Kungälv Centrum,          Kungälvs kommun",2 maj 2023,130.0,,6.0,659 ,4500000.0
80,Vävra 297,"Hålta,          Kungälvs kommun",30 april 2023,161.0,216.0,5.0,1 587 ,5300000.0
81,Lerskärsvägen 8,"Tjuvkil,          Kungälvs kommun",29 april 2023,84.0,134.0,4.0,1 458 ,4500000.0
82,Brunnefjällsvägen 21,"Kärna,          Kungälvs kommun",26 april 2023,82.0,95.0,3.0,1 741 ,3500000.0
83,Klockarvägen 7,"Kungälv - Romelanda,          Kungälvs kommun",26 april 2023,162.0,,6.0,706 ,4050000.0
84,Sålådevägen 546,"Kungälv - Ullstorp,          Kungälvs kommun",25 april 2023,145.0,164.0,5.0,804 ,6700000.0
85,Östra Trädal 320,"Ytterby,          Kungälvs kommun",21 april 2023,130.0,180.0,6.0,8 185 ,7495000.0
86,Lundby 565,"Kareby,          Kungälvs kommun",20 april 2023,101.0,,3.0,1 935 ,4390000.0
87,Kuskalundsvägen 39,"Kungälv - Hålta,          Kungälvs kommun",18 april 2023,70.0,83.0,3.0,1 745 ,2600000.0
88,Häradsvägen 6,"Ytterby,          Kungälvs kommun",18 april 2023,137.0,,7.0,468 ,4250000.0
89,Kareby kyrkväg 149,"Kareby,          Kungälvs kommun",18 april 2023,137.0,,5.0,1 951 ,4300000.0
90,Kuskalundsvägen 32,"Hålta,          Kungälvs kommun",15 april 2023,79.0,,3.0,1 494 ,3050000.0
91,Munkegärdegatan 243,"Munkegärde/Ulvegärde,          Kungälvs kommun",15 april 2023,133.0,,6.0,817 ,5150000.0
92,Backsippegatan 5,"Ytterby,          Kungälvs kommun",14 april 2023,115.0,,5.0,598 ,4200000.0
93,Stora Risby 550,"Hålta,          Kungälvs kommun",10 april 2023,100.0,186.0,3.0,1 640 ,3850000.0
94,Västra gatan 28,"Kungälv - Centralt,          Kungälvs kommun",3 april 2023,155.0,187.0,6.0,600 ,5250000.0
95,Östergårdsgatan 23,"Ytterby,          Kungälvs kommun",30 mars 2023,180.0,228.0,6.0,840 ,5225000.0
96,Hermansby 165,"Kärna,          Kungälvs kommun",27 mars 2023,134.0,,4.0,2 005 ,4900000.0
97,Lefstad 155,"Kärna,          Kungälvs kommun",24 mars 2023,145.0,,6.0,1 545 ,5700000.0
98,Kullegatan 12,"Centrum,          Kungälvs kommun",24 mars 2023,190.0,353.0,7.0,660 ,6600000.0
99,Bräcke 105,"Kungälv - Kärna,          Kungälvs kommun",23 mars 2023,204.0,,6.0,1 906 ,5295000.0
100,Kulperödsvägen 17,"Bohuslän,          Kungälvs kommun",23 mars 2023,133.0,252.0,6.0,2 141 ,4800000.0
101,Sköldgatan 8,"Stället,          Kungälvs kommun",9 mars 2023,96.0,125.0,3.0,451 ,4225000.0
102,Munkegärdegatan 279,"Kungälv - Munkegärde,          Kungälvs kommun",9 mars 2023,118.0,,4.0,342 ,4700000.0
103,Önneröd 120,"Kärna,          Kungälvs kommun",8 mars 2023,133.0,162.0,5.0,3 061 ,3750000.0
104,Kyrkeby 293,"Harestad,          Kungälvs kommun",3 mars 2023,170.0,,6.0,1 189 ,5500000.0
105,Harkeröd 305,"Hålta,          Kungälvs kommun",2 mars 2023,110.0,,4.0,818 ,4395000.0
106,Lagvägen 23,"Ytterby,          Kungälvs kommun",2 mars 2023,107.0,114.0,4.0,757 ,2700000.0
107,Tegskiftegatan 84,"Ytterby,          Kungälvs kommun",27 februari 2023,101.0,247.0,5.0,1 186 ,5310000.0
108,Signehög 320,"Romelanda,          Kungälvs kommun",21 februari 2023,105.0,162.0,5.0,1 550 ,4350000.0
109,Guddehjälm 215,"Ytterby,          Kungälvs kommun",8 februari 2023,,,8.0,3 639 ,5330000.0
110,Kärnavägen 4,"Kärna,          Kungälvs kommun",7 februari 2023,110.0,200.0,7.0,860 ,4250000.0
111,Källeröd 166,"Kareby,          Kungälvs kommun",4 februari 2023,127.0,,6.0,988 ,4350000.0
112,Korpedalsvägen 3,"Aröd,          Kungälvs kommun",2 februari 2023,140.0,204.0,5.0,993 ,4000000.0
113,Hällristningsgatan 10,"Kungälv - Ytterby,          Kungälvs kommun",30 januari 2023,103.0,,4.0,282 ,4000000.0
114,Kantorvägen 4,"Diseröd,          Kungälvs kommun",27 januari 2023,134.0,,5.0,558 ,3700000.0
115,Gunneröd 320,"Lycke,          Kungälvs kommun",26 januari 2023,145.0,,5.0,1 144 ,3900000.0
116,Prästvägen 340,"Kungälv - Kareby,          Kungälvs kommun",19 januari 2023,158.0,250.0,7.0,4 235 ,6100000.0
117,Granndalen 13,"Kärna,          Kungälvs kommun",18 januari 2023,110.0,137.0,4.0,1 093 ,3850000.0
118,Stenåldersgatan 57,"Ytterby,          Kungälvs kommun",17 januari 2023,107.0,,5.0,354 ,4380000.0
119,Duvesjön 216,"Romelanda,          Kungälvs kommun",12 januari 2023,153.0,,6.0,2 091 ,4750000.0
120,Rostock 290,"Romelanda,          Kungälvs kommun",4 januari 2023,148.0,213.0,,1 678 ,3400000.0
121,Långdammsvägen 2,"Marstrandsön,          Kungälvs kommun",27 december 2022,28.0,,,617 ,7125000.0
122,Munkegärdegatan 312,"Munkegärde,          Kungälvs kommun",21 december 2022,170.0,,6.0,612 ,5605000.0
123,Bremnäs 130,"Lycke,          Kungälvs kommun",15 december 2022,167.0,207.0,8.0,938 ,4490000.0
124,Bremnäs 155,"Lycke Bremnäs,          Kungälvs kommun",13 december 2022,137.0,190.0,6.0,1 298 ,4125000.0
125,Skurhagagatan 3,"Komarken,          Kungälvs kommun",2 december 2022,127.0,252.0,6.0,603 ,4700000.0
126,Över-Restad 165,"Hålta,          Kungälvs kommun",2 december 2022,126.0,,6.0,1 693 ,5050000.0
127,Sundhammarsvägen 610,"Kärna,          Kungälvs kommun",2 december 2022,188.0,,6.0,2 010 ,5500000.0
128,Klevevägen 50,"Ytterby,          Kungälvs kommun",2 december 2022,110.0,,4.0,,3600000.0
129,Klockarvägen 11,"Diseröd,          Kungälvs kommun",1 december 2022,170.0,,6.0,574 ,4300000.0
130,Hammarberg 830,"Kode,          Kungälvs kommun",29 november 2022,73.0,88.0,3.0,1 632 ,2900000.0
131,Jordliden 30,"Kungälv,          Kungälvs kommun",24 november 2022,86.0,,3.0,,2750000.0
132,Grindklykan 9,"Grinden,          Kungälvs kommun",24 november 2022,114.0,,4.0,729 ,4800000.0
133,Hältorp 130,"Ytterby,          Kungälvs kommun",18 november 2022,115.0,230.0,7.0,1 372 ,4050000.0
134,Häljeröd 430,"Romelanda,          Kungälvs kommun",17 november 2022,132.0,,6.0,3 009 ,4515000.0
135,Sjöhåla 130,"Sjöhåla,          Kungälvs kommun",13 november 2022,121.0,196.0,4.0,1 576 ,2400000.0
136,Flädervägen 18,"Romelanda,          Kungälvs kommun",12 november 2022,137.0,157.0,6.0,353 ,3850000.0
137,Lundby 440,"Kareby,          Kungälvs kommun",11 november 2022,125.0,245.0,5.0,1 676 ,4500000.0
138,Fiolmannens gata 17,"Ytterby,          Kungälvs kommun",10 november 2022,115.0,,5.0,,3995000.0
139,Lefstad 350,"Kärna,          Kungälvs kommun",6 november 2022,129.0,219.0,6.0,2 216 ,4050000.0
140,Enskiftegatan 10,"Kungälv - Ytterby,          Kungälvs kommun",3 november 2022,179.0,,6.0,768 ,5500000.0
141,Mossvägen 38,"Lökeberg,          Kungälvs kommun",31 oktober 2022,86.0,,3.0,1 111 ,4400000.0
142,Lingången 16,"Kungälv - Centrum,          Kungälvs kommun",26 oktober 2022,120.0,,4.0,402 ,4550000.0
143,Jägersberg 310,"Kode,          Kungälvs kommun",21 oktober 2022,184.0,212.0,6.0,26 210 ,4000000.0
144,Mossvägen 37,"Lökeberg,          Kungälvs kommun",19 oktober 2022,86.0,,3.0,1 844 ,4400000.0
145,Prejelvägen 120,"Ullstorp,          Kungälvs kommun",16 oktober 2022,122.0,,5.0,314 ,5495000.0
146,Vältvägen 509,"Ullstorp,          Kungälvs kommun",12 oktober 2022,105.0,,4.0,319 ,5050000.0
147,Björröd 310,"Kode,          Kungälvs kommun",12 oktober 2022,172.0,,6.0,1 514 ,4350000.0
148,Kullholmsvägen 6,"Tjuvkil,          Kungälvs kommun",3 oktober 2022,117.0,,5.0,429 ,5900000.0
149,Kantorvägen 8,"Diseröd,          Kungälvs kommun",30 september 2022,125.0,,4.0,557 ,3700000.0
150,Norrmannebo 110,"Romelanda,          Kungälvs kommun",29 september 2022,99.0,,3.0,1 720 ,2100000.0
151,Heden 220,"Bohuslän,          Kungälvs kommun",29 september 2022,123.0,200.0,5.0,3 342 ,4750000.0
152,Gustavsbergsvägen 16,"Ytterby,          Kungälvs kommun",28 september 2022,105.0,196.0,4.0,1 244 ,5100000.0
153,Bergsvägen 28,"Ödsmålsmosse,          Kungälvs kommun",27 september 2022,58.0,65.0,3.0,1 631 ,3075000.0
154,Korpvägen 263,"Ullstorp,          Kungälvs kommun",24 september 2022,158.0,176.0,6.0,387 ,6500000.0
155,Hemvägen 48,"Diseröd,          Kungälvs kommun",22 september 2022,130.0,195.0,5.0,696 ,3650000.0
156,Häljeröd 640,"Kode,          Kungälvs kommun",19 september 2022,211.0,,8.0,47 500 ,7750000.0
157,Stenåldersgatan 55,"Ytterby,          Kungälvs kommun",17 september 2022,120.0,135.0,5.0,395 ,5200000.0
158,Annas väg 28,"Kovikshamn/Sundhammar,          Kungälvs kommun",12 september 2022,101.0,,3.0,1 118 ,4150000.0
159,Krokebäcksvägen 95,"Kareby,          Kungälvs kommun",11 september 2022,123.0,,5.0,259 ,5100000.0
160,Björröd 260,"Bohuslän,          Kungälvs kommun",10 september 2022,145.0,,4.0,4 156 ,3300000.0
161,Vävra 105,"Hålta,          Kungälvs kommun",9 september 2022,111.0,,2.0,1 943 ,2550000.0
162,Högsberg 355,"Kode,          Kungälvs kommun",8 september 2022,94.0,,4.0,1 797 ,4050000.0
163,Rådjursgatan 8,"Bohuslän,          Kungälvs kommun",8 september 2022,85.0,,3.0,,3195000.0
164,Barlinds väg 38,"Instön,          Kungälvs kommun",6 september 2022,98.0,100.0,4.0,1 290 ,8500000.0
165,Skålgropsgatan 28,"Ytterby,          Kungälvs kommun",4 september 2022,122.0,,4.0,349 ,5050000.0
166,Tjärnstigen 10,"Lökeberg,          Kungälvs kommun",1 september 2022,103.0,,5.0,1 113 ,3800000.0
167,Grepvägen 385,"Ullstorp,          Kungälvs kommun",1 september 2022,121.0,150.0,5.0,388 ,5710000.0
168,Lerskärsvägen 13B,"Tjuvkil,          Kungälvs kommun",1 september 2022,128.0,,4.0,1 259 ,5200000.0
169,Kyrkeby 302,"Harestad,          Kungälvs kommun",31 augusti 2022,126.0,,6.0,1 097 ,4900000.0
170,Tvetgatan 143,"Tveten,          Kungälvs kommun",31 augusti 2022,93.0,125.0,5.0,186 ,4200000.0
171,Grandalen 230,"Romelanda,          Kungälvs kommun",29 augusti 2022,138.0,,6.0,1 718 ,4200000.0
172,Hammarhöjden 700,"Kode,          Kungälvs kommun",29 augusti 2022,75.0,,4.0,1 123 ,1650000.0
173,Holm 241,"Kärna,          Kungälvs kommun",27 augusti 2022,,,5.0,1 207 ,5100000.0
174,Torsby 270,"Kärna,          Kungälvs kommun",27 augusti 2022,161.0,335.0,8.0,1 915 ,5735000.0
175,Lerskärsvägen 52,"Tjuvkil,          Kungälvs kommun",26 augusti 2022,106.0,155.0,4.0,1 385 ,5520000.0
176,Korsgatan 3,"Marstrand,          Kungälvs kommun",24 augusti 2022,116.0,146.0,4.0,494 ,9200000.0
177,Blekeliden 6,"Västra Gatan,          Kungälvs kommun",21 augusti 2022,161.0,208.0,5.0,629 ,7300000.0
178,Rörtången 273,"Rörtången/ödsmålsmosse,          Kungälvs kommun",19 augusti 2022,65.0,,2.0,,4100000.0
179,Råckeröd 180,"Kärna,          Kungälvs kommun",12 augusti 2022,90.0,,4.0,3 183 ,2050000.0
