,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1581,Marias Väg 2,"Aröd,          Kungälvs kommun",12 maj 2016,90,NaN,4,1 608 ,3 400 000 
1582,Almvägen 3,"Romelanda - Diseröd,          Kungälvs kommun",11 maj 2016,130,NaN,5,727 ,3 300 000 
1583,Solvagnsgatan 3,"Ytterby - Stället,          Kungälvs kommun",9 maj 2016,140,NaN,4,360 ,4 300 000 
1584,Skårby Mosse 880,"Skårby,          Kungälvs kommun",9 maj 2016,86,NaN,4,1 782 ,2 900 000 
1585,Ugglehed 180,"Önneröd,          Kungälvs kommun",6 maj 2016,106,106+64,5,15 352 ,2 730 000 
1586,Vena 318,"Ytterby,          Kungälvs kommun",1 maj 2016,112,NaN,4,9 024 ,4 100 000 
1587,Duvesjön 225,"Romelanda,          Kungälvs kommun",1 maj 2016,65,NaN,3,1 800 ,1 950 000 
1588,Duvesjön 201,"Duvesjön,          Kungälvs kommun",29 april 2016,38,38+9,2,1 390 ,1 300 000 
1589,Munkholmsgatan 2,"Centralt,          Kungälvs kommun",28 april 2016,137,137+73,7,893 ,4 900 000 
1590,Björkstigen 9,"Romelanda,          Kungälvs kommun",28 april 2016,185,185+46,7,937 ,3 700 000 
1591,Settungsvägen 62,"Ullstorp,          Kungälvs kommun",25 april 2016,140,140+26,6,372 ,4 450 000 
1592,Situlagatan 2,"Ytterby,          Kungälvs kommun",24 april 2016,150,150+20,6,787 ,4 500 000 
1593,Äslingsvägen 8,"Tjuvkil,          Kungälvs kommun",22 april 2016,183,NaN,6,1 380 ,5 650 000 
1594,Kärrhed 190,"Kärna,          Kungälvs kommun",21 april 2016,122,NaN,4,1 316 ,2 850 000 
1595,Olvonvägen 71,"Kungälv - Romelanda,          Kungälvs kommun",14 april 2016,115,115+115,6,2 056 ,4 725 000 
1596,Rättarevägen 16,"Ytterby,          Kungälvs kommun",14 april 2016,105,105+122,6,732 ,4 300 000 
1597,Ametistvägen 11,"Kode,          Kungälvs kommun",12 april 2016,107,NaN,4,806 ,2 850 000 
1598,Rådalsvägen 25 Havsutsikt,"Aröd,          Kungälvs kommun",9 april 2016,88,NaN,3,1 462 ,2 995 000 
1599,Annas Väg 10,"Kärna,          Kungälvs kommun",8 april 2016,62,NaN,4,1 317 ,2 600 000 
1600,Gunneröd 320,"Lycke,          Kungälvs kommun",8 april 2016,145,NaN,5,1 144 ,3 150 000 
1601,Gårdskiftegatan 64,"Ytterby,          Kungälvs kommun",6 april 2016,139,139+31,7,803 ,3 200 000 
1602,Lahälla 610,"Skåra,          Kungälvs kommun",4 april 2016,160,160+82,6,2 098 ,5 450 000 
1603,Plogvägen 203,"Kungälv,          Kungälvs kommun",29 mars 2016,122,122+9,5,295 ,4 480 000 
1604,Gamla Torget 10,"Centrum,          Kungälvs kommun",24 mars 2016,113,NaN,4,134 ,3 970 000 
1605,Solskiftegatan 9,"Kungälv,          Kungälvs kommun",24 mars 2016,140,140+58,6,958 ,3 850 000 
1606,Högsberg 325,"Kode,          Kungälvs kommun",23 mars 2016,100,NaN,4,1 662 ,3 250 000 
1607,Matskärsvägen 37,"Tjuvkil,          Kungälvs kommun",22 mars 2016,83,83+48,5,1 430 ,3 530 000 
1608,Flateby 490,"Harestad,          Kungälvs kommun",21 mars 2016,165,165+67,7,1 030 ,1 995 000 
1609,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",18 mars 2016,90,NaN,3,1 007 ,2 500 000 
1610,Plogvägen 193,"Ullstorp,          Kungälvs kommun",17 mars 2016,106,NaN,4,407 ,3 925 000 
1611,Näckrosvägen 7,"Kärna,          Kungälvs kommun",16 mars 2016,148,148+75,6,1 553 ,4 220 000 
1612,Sköldgatan 3,"Ytterby - Stället,          Kungälvs kommun",11 mars 2016,136,NaN,4,443 ,4 150 000 
1613,Duvesjön 368,"Romelanda,          Kungälvs kommun",9 mars 2016,117,117+35,5,1 132 ,3 225 000 
1614,Stora Ryr 340,"Kärna,          Kungälvs kommun",8 mars 2016,144,144+12,5,952 ,2 900 000 
1615,Björkliden 18,"Aröd,          Kungälvs kommun",4 mars 2016,60,60+60,3,1 050 ,2 470 000 
1616,Kärnavägen 27,"Kärna,          Kungälvs kommun",2 mars 2016,150,150+30,6,862 ,3 730 000 
1617,Dotorp 470,"Kärna,          Kungälvs kommun",29 februari 2016,70,NaN,Nan,19 948 ,1 580 000 
1618,Marias Väg 18,"Aröd,          Kungälvs kommun",24 februari 2016,73,NaN,3,1 498 ,2 000 000 
1619,Stenhålt 125,"Romelanda,          Kungälvs kommun",24 februari 2016,157,157+38,6,5 000 ,3 275 000 
1620,Hasselvägen 7,"Romelanda,          Kungälvs kommun",24 februari 2016,134,134+48,7,977 ,3 410 000 
1621,Skårsäng 2,"Kärna,          Kungälvs kommun",23 februari 2016,114,NaN,5,Nan,3 195 000 
1622,Tegskiftegatan 46,"Tega,          Kungälvs kommun",20 februari 2016,114,114+117,8,865 ,4 100 000 
1623,Skårby Mosse 895,"Kareby,          Kungälvs kommun",19 februari 2016,156,NaN,5,1 583 ,3 500 000 
1624,Duvesjön 317,"Romelanda,          Kungälvs kommun",17 februari 2016,103,NaN,5,1 084 ,3 150 000 
1625,Staby 340,"Kärna,          Kungälvs kommun",15 februari 2016,159,159+125,6,1 207 ,4 500 000 
1626,Tulpanvägen 4,"Kärna,          Kungälvs kommun",11 februari 2016,118,118+70,6,783 ,3 500 000 
1627,Östergårdsgatan 31,"Ytterby,          Kungälvs kommun",10 februari 2016,154,154+54,6,809 ,3 880 000 
1628,Oskarsbergsgatan 20,"Ytterby,          Kungälvs kommun",9 februari 2016,120,120+68,6,929 ,4 020 000 
1629,Byvägen 20,"Kode,          Kungälvs kommun",29 januari 2016,64,64+25,4,1 642 ,2 600 000 
1630,Reidarsgatan 5,"Komarken,          Kungälvs kommun",26 januari 2016,119,119+57,6,686 ,2 650 000 
1631,Slånbärsvägen 9,"Kungälv - Centralt,          Kungälvs kommun",24 januari 2016,140,NaN,4,855 ,5 350 000 
1632,Ulvesund 438,"Kungälv - Ytterby,          Kungälvs kommun",22 januari 2016,90,NaN,5,760 ,3 150 000 
1633,Bredsten 416,"Ytterby,          Kungälvs kommun",19 januari 2016,158,158+14,6,26 920 ,6 800 000 
1634,Skårby Station 520,"Kareby,          Kungälvs kommun",18 januari 2016,117,117+55,5,1 060 ,2 995 000 
1635,Vena 170,"Vena - Ytterby,          Kungälvs kommun",18 januari 2016,183,183+1,6,2 650 ,3 700 000 
1636,Granndalen 2,"Lycke,          Kungälvs kommun",16 januari 2016,114,NaN,4,1 619 ,2 175 000 
1637,Hanekullen 205,"Kareby,          Kungälvs kommun",13 januari 2016,90,90+90,2,1 885 ,3 900 000 
1638,Smaragdvägen 30,"Kode,          Kungälvs kommun",13 januari 2016,131,131+14,5,362 ,3 430 000 
1639,Hallbjörtorp 500,"Kärna,          Kungälvs kommun",12 januari 2016,162,NaN,6,2 752 ,4 070 000 
1640,Mantalsgatan 26,"Tega - Ytterby,          Kungälvs kommun",10 januari 2016,153,153+54,7,1 922 ,4 570 000 
1641,Skepparegatan 5,"Marstrand - Koön,          Kungälvs kommun",5 januari 2016,184,184+25,9,474 ,8 000 000 
1642,Spadvägen 1,"Ullstorp,          Kungälvs kommun",22 december 2015,75,75+40,3,1 236 ,2 970 000 
1643,Timmervik 140,"Bohuslän,          Kungälvs kommun",8 december 2015,180,180+45,7,1 119 ,3 695 000 
1644,Häljeröd 490,"Bohuslän,          Kungälvs kommun",6 december 2015,205,205+100,9,4 355 ,4 975 000 
1645,Näckrosvägen 7,"Kungälv,          Kungälvs kommun",2 december 2015,,NaN,Nan,1 300 ,1 200 000 
1646,Duvesjön 374,"Duvesjön,          Kungälvs kommun",26 november 2015,110,NaN,4,1 000 ,3 150 000 
1647,Blåsippegatan 3,"Ytterby,          Kungälvs kommun",26 november 2015,182,NaN,6,579 ,4 600 000 
1648,Heavägen 13,"Lycke,          Kungälvs kommun",23 november 2015,121,NaN,4,970 ,3 300 000 
1649,Mossvägen 13,"Kungälv Lökeberg,          Kungälvs kommun",17 november 2015,96,96+10,4,1 376 ,2 600 000 
1650,Skårby Station 452,"Kareby,          Kungälvs kommun",17 november 2015,122,NaN,2,2 963 ,3 500 000 
1651,Bergliden 20,"Aröd,          Kungälvs kommun",9 november 2015,65,65+36,3,1 322 ,2 210 000 
1652,Plogvägen 184,"Kungälv Ullstorp,          Kungälvs kommun",8 november 2015,122,NaN,5,363 ,4 410 000 
1653,Hällristningsgatan 8,"Ytterby,          Kungälvs kommun",3 november 2015,103,NaN,Nan,262 ,3 500 000 
1654,Jörlandavägen 3,"Kode,          Kungälvs kommun",2 november 2015,115,115+48,5,1 165 ,2 325 000 
1655,Häljeröd 320,"Romelanda,          Kungälvs kommun",2 november 2015,144,144+24,5,5 814 ,3 950 000 
1656,Rådmansgatan 13,"Centrum,          Kungälvs kommun",30 oktober 2015,92,92+92,5,636 ,4 900 000 
1657,Lundby 180,"Kareby,          Kungälvs kommun",30 oktober 2015,200,200+63,7,1 518 ,3 400 000 
1658,Vedhallsvägen 8,"Kärna,          Kungälvs kommun",30 oktober 2015,116,116+72,6,1 864 ,2 250 000 
1659,Guddeby 250,"Ytterby,          Kungälvs kommun",23 oktober 2015,174,NaN,8,1 733 ,4 000 000 
1660,Kareby Kyrkväg 340,"Kareby,          Kungälvs kommun",23 oktober 2015,183,NaN,5,1 010 ,2 950 000 
1661,Stora Ryr 280,"Bohuslän,          Kungälvs kommun",22 oktober 2015,96,96+15,3,2 254 ,1 950 000 
1662,Fontinvägen 22,"Kungälv - Centrum,          Kungälvs kommun",20 oktober 2015,130,130+140,8,1 034 ,5 900 000 
1663,Gamla Trollhättevägen 22,"Kungälv,          Kungälvs kommun",19 oktober 2015,65,65+60,2,1 246 ,2 000 000 
1664,Settungsvägen 36,"Kungälv Ullstorp,          Kungälvs kommun",18 oktober 2015,140,140+20,6,362 ,4 800 000 
1665,Bergåsvägen 21,"Ytterby Tunge,          Kungälvs kommun",16 oktober 2015,130,130+70,6,972 ,3 570 000 
1666,Kämpegatan 5,"Kungälv Centralt,          Kungälvs kommun",14 oktober 2015,107,107+105,6,842 ,3 850 000 
1667,Häljeröd 330,"Kungälv,          Kungälvs kommun",14 oktober 2015,145,145+5,6,6 686 ,4 055 500 
1668,Mjölnarvägen 14,"Romelanda,          Kungälvs kommun",14 oktober 2015,124,124+85,5,820 ,3 200 000 
1669,Hjälmgatan 9,"Ytterby,          Kungälvs kommun",13 oktober 2015,96,96+6,3,467 ,3 225 000 
1670,Rävo 130,"Hålta,          Kungälvs kommun",12 oktober 2015,114,114+114,5,5 500 ,4 350 000 
1671,Veneröd 540,"Hålta,          Kungälvs kommun",8 oktober 2015,250,NaN,7,1 982 ,4 065 000 
1672,Ulvesund 110,"Ytterby,          Kungälvs kommun",8 oktober 2015,153,153+50,4,3 024 ,3 200 000 
1673,Helgonagatan 50,"Munkegärde,          Kungälvs kommun",7 oktober 2015,117,NaN,4,1 675 ,2 416 667 
1674,Bärnstensvägen 11,"Kode,          Kungälvs kommun",7 oktober 2015,98,98+75,6,1 005 ,3 195 000 
1675,Rosenstensvägen 11,"Kode,          Kungälvs kommun",28 september 2015,140,140+15,5,562 ,3 350 000 
1676,Gårdskiftegatan 13,"Ytterby - Tega,          Kungälvs kommun",26 september 2015,140,NaN,5,1 034 ,3 995 000 
1677,Storskiftegatan 96,"Ytterby Tega Kungälv,          Kungälvs kommun",26 september 2015,140,NaN,5,810 ,4 050 000 
1678,Ingetorp 130,"Kode,          Kungälvs kommun",24 september 2015,120,120+60,5,1 874 ,3 050 000 
1679,Solvagnsgatan 42,"Ytterby - Stället,          Kungälvs kommun",22 september 2015,138,138+12,5,401 ,4 325 000 
1680,Settungsvägen 42,"Ullstorp,          Kungälvs kommun",21 september 2015,149,NaN,7,620 ,4 900 000 
1681,Häljeröd 250,"Romelanda,          Kungälvs kommun",17 september 2015,108,NaN,6,7 088 ,2 995 000 
1682,Tofta 330,"Tofta,          Kungälvs kommun",17 september 2015,110,NaN,5,2 927 ,6 700 000 
1683,Stämmdalen 120,"Lycke,          Kungälvs kommun",16 september 2015,96,96+66,5,1 104 ,1 895 000 
1684,Lökebergsvägen 27,"Kungälv Lökeberg,          Kungälvs kommun",13 september 2015,120,120+45,5,1 198 ,3 840 000 
1685,Brunnefjäll 180,"Kärna Vedhall,          Kungälvs kommun",11 september 2015,143,143+60,5,1 887 ,3 470 000 
1686,Häljeröd 270,"Romelanda - Diseröd,          Kungälvs kommun",10 september 2015,111,111+88,6,3 100 ,2 495 000 
1687,Buderöd 160,"Kode,          Kungälvs kommun",10 september 2015,118,118+84,5,22 600 ,4 075 000 
1688,Tegskiftegatan 48,"Ytterby Tega Kungälv,          Kungälvs kommun",9 september 2015,157,157+102,9,1 083 ,4 950 000 
1689,Broberg 130,"Bohuslän,          Kungälvs kommun",3 september 2015,130,130+37,6,2 400 ,3 425 000 
1690,Sköldgatan 4,"Ytterby,          Kungälvs kommun",2 september 2015,95,95+8,3,399 ,3 075 000 
1691,Korpedalsvägen 10,"Aröd,          Kungälvs kommun",31 augusti 2015,73,NaN,3,1 099 ,1 850 000 
1692,Käckås 110,"Ytterby,          Kungälvs kommun",31 augusti 2015,98,98+87,5,11 226 ,4 400 000 
1693,Diserödsvägen 7,"Kungälv Romelanda Diseröd,          Kungälvs kommun",28 augusti 2015,127,127+52,5,737 ,2 830 000 
1694,Västra Strandgatan 17,"Kungälv - Centrum,          Kungälvs kommun",26 augusti 2015,130,130+80,5,690 ,3 575 000 
1695,Lövön 410,"Lövön - Kungälv/Marstrand,          Kungälvs kommun",13 augusti 2015,93,NaN,3,2 467 ,3 050 000 
1696,Toftebergsvägen 2,"Tjuvkil,          Kungälvs kommun",30 juli 2015,82,82+6,4,1 085 ,1 550 000 
1697,Truskärsvägen 7,"Tjuvkil,          Kungälvs kommun",24 juli 2015,181,181+83,6,3 390 ,4 350 000 
