,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1042,Bokvägen 11,"Fontin,          Kungälvs kommun",15 april 2019,112,112+17,5,600 ,5 325 000 
1043,Hällristningsgatan 22,"Ytterby,          Kungälvs kommun",15 april 2019,103,NaN,4,264 ,3 950 000 
1044,Kuskalundsvägen 5,"Hålta,          Kungälvs kommun",14 april 2019,75,75+20,3,1 776 ,2 800 000 
1045,Prästbol 185,"Aröd,          Kungälvs kommun",14 april 2019,129,NaN,4,2 008 ,5 400 000 
1046,Munkholmsgatan 5,"Kungälv,          Kungälvs kommun",12 april 2019,117,117+50,4,759 ,4 550 000 
1047,Plommeröd 160,"Romelanda,          Kungälvs kommun",11 april 2019,59,NaN,3,1 418 ,1 580 000 
1048,Gunneröd 320,"Kärna Lycke,          Kungälvs kommun",11 april 2019,145,NaN,5,1 144 ,3 550 000 
1049,Skrivarevägen 48,"Ytterby,          Kungälvs kommun",2 april 2019,104,NaN,4,167 ,2 995 000 
1050,Brunnefjällsvägen  18,"Kärna,          Kungälvs kommun",1 april 2019,83,NaN,3,1 196 ,3 000 000 
1051,Dannemarksgatan 4,"Tega - Ytterby,          Kungälvs kommun",1 april 2019,112,112+151,6,990 ,4 710 000 
1052,Alekärr 110,"Diseröd,          Kungälvs kommun",31 mars 2019,118,118+149,6,1 611 ,3 500 000 
1053,Duvesjön 460,"Duvesjön,          Kungälvs kommun",29 mars 2019,64,NaN,3,1 986 ,2 260 000 
1054,Solvagnsgatan 22,"Ytterby - Stället,          Kungälvs kommun",25 mars 2019,139,139+12,5,370 ,5 000 000 
1055,Lagvägen 27,"Ytterby,          Kungälvs kommun",25 mars 2019,110,110+38,6,692 ,3 810 000 
1056,Grannebydal 260,"Hålta,          Kungälvs kommun",21 mars 2019,120,NaN,4,1 574 ,2 300 000 
1057,Solvagnsgatan 32,"Ytterby,          Kungälvs kommun",17 mars 2019,138,NaN,5,385 ,5 200 000 
1058,Hammar 510,"Kode,          Kungälvs kommun",15 mars 2019,143,143+140,Nan,3 324 ,3 900 000 
1059,Skolstigen 2,"Kungälv,          Kungälvs kommun",13 mars 2019,150,150+20,7,1 080 ,4 570 000 
1060,Munkegärdegatan 99,"Blodriskan,          Kungälvs kommun",6 mars 2019,134,134+25,5,345 ,4 350 000 
1061,Kyrkeby 220,"Harestad,          Kungälvs kommun",4 mars 2019,109,NaN,4,6 999 ,4 750 000 
1062,Kulperödsvägen 35,"Bohuslän,          Kungälvs kommun",1 mars 2019,143,NaN,5,3 089 ,4 050 000 
1063,Tjäderstigen  4,"Kungälv - Centralt,          Kungälvs kommun",28 februari 2019,126,NaN,4,362 ,4 285 000 
1064,Flateby 450,"Harestad,          Kungälvs kommun",28 februari 2019,163,163+118,8,1 351 ,3 630 000 
1065,Bergkristallvägen 18,"Kode,          Kungälvs kommun",27 februari 2019,127,NaN,6,608 ,4 400 000 
1066,Prästvägen 710,"Romelanda,          Kungälvs kommun",27 februari 2019,166,166+20,8,1 034 ,4 300 000 
1067,Granndalen 14,"Bohuslän,          Kungälvs kommun",24 februari 2019,70,70+54,4,1 229 ,2 995 000 
1068,Ranneberg  154,"Kärna,          Kungälvs kommun",22 februari 2019,165,NaN,4,2 381 ,5 200 000 
1069,Kvarnvägen 22,"Kode,          Kungälvs kommun",21 februari 2019,68,68+68,5,1 318 ,3 570 000 
1070,Lingonvägen 43,"Centralt,          Kungälvs kommun",18 februari 2019,126,NaN,5,383 ,4 050 000 
1071,Hamngatan 11,"Centralt,          Kungälvs kommun",15 februari 2019,84,84+94,3,636 ,4 890 000 
1072,Rönnvägen  22,"Romelanda,          Kungälvs kommun",14 februari 2019,108,108+70,5,823 ,3 375 000 
1073,Lyckevägen  9,"Kärna,          Kungälvs kommun",14 februari 2019,190,190+150,9,2 284 ,4 300 000 
1074,Ekvägen 12,"Ytterby,          Kungälvs kommun",14 februari 2019,125,125+83,6,770 ,4 000 000 
1075,Rostock 362,"Bohuslän,          Kungälvs kommun",13 februari 2019,131,NaN,5,1 070 ,4 650 000 
1076,Tjuvkil 460,"Tjuvkil,          Kungälvs kommun",12 februari 2019,115,115+20,4,1 231 ,3 900 000 
1077,Sjöhed 310,"Kärna - Harestad,          Kungälvs kommun",11 februari 2019,103,103+81,5,1 208 ,3 700 000 
1078,Galärgatan 3,"Komarken,          Kungälvs kommun",11 februari 2019,108,108+65,4,628 ,4 200 000 
1079,Bastövägen 4,"Överön - Kärna,          Kungälvs kommun",8 februari 2019,100,100+60,6,2 786 ,4 995 000 
1080,Furuvägen 1,"Diseröd,          Kungälvs kommun",7 februari 2019,108,108+32,5,742 ,2 795 000 
1081,Prejelvägen 112,"Centrum,          Kungälvs kommun",7 februari 2019,142,NaN,5,382 ,5 300 000 
1082,Hallsbrovägen  14,"Kärna,          Kungälvs kommun",4 februari 2019,145,145+61,6,2 108 ,3 700 000 
1083,Nämndemansvägen  12,"Ytterby,          Kungälvs kommun",1 februari 2019,152,NaN,6,680 ,3 895 000 
1084,Lyckevägen 3,"Kärna,          Kungälvs kommun",1 februari 2019,120,120+72,5,2 857 ,3 770 000 
1085,Häradsvägen 24,"Ytterby,          Kungälvs kommun",1 februari 2019,130,NaN,5,342 ,3 387 500 
1086,Backsippegatan  4,"Ytterby - Tornhaga,          Kungälvs kommun",30 januari 2019,115,NaN,5,577 ,3 300 000 
1087,Rishammar 262,"Kareby,          Kungälvs kommun",30 januari 2019,186,NaN,6,5 205 ,4 550 000 
1088,Vitsippegatan 4,"Ytterby - Tornhaga,          Kungälvs kommun",27 januari 2019,189,NaN,8,626 ,4 700 000 
1089,Galeasgatan 17,"Centrum,          Kungälvs kommun",24 januari 2019,189,189+100,6,574 ,5 425 000 
1090,Vältvägen 509,"Ullstorp,          Kungälvs kommun",22 januari 2019,105,NaN,4,319 ,4 550 000 
1091,Gategården 250,"Hålta,          Kungälvs kommun",21 januari 2019,140,140+26,5,1 500 ,3 990 000 
1092,Rondan 37,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",21 januari 2019,80,NaN,4,1 617 ,2 850 000 
1093,Kantorvägen 3,"Diseröd centrum,          Kungälvs kommun",20 januari 2019,165,165+14,5,761 ,4 100 000 
1094,Hemvägen  15,"Romelanda,          Kungälvs kommun",19 januari 2019,119,119+19,5,398 ,3 550 000 
1095,Tvetgatan 43,"Tveten,          Kungälvs kommun",18 januari 2019,109,NaN,5,156 ,3 450 000 
1096,Rörmossevägen  120,"Bohuslän,          Kungälvs kommun",17 januari 2019,170,170+81,5,4 070 ,4 575 000 
1097,Parkgatan 11,"Bohuslän,          Kungälvs kommun",15 januari 2019,260,NaN,9,513 ,6 700 000 
1098,Kristiansborg 170,"Tjuvkil,          Kungälvs kommun",11 januari 2019,77,77+55,6,1 295 ,3 700 000 
1099,Vena 328,"Ytterby - Vena,          Kungälvs kommun",8 januari 2019,125,NaN,5,1 520 ,4 100 000 
1100,Bergkristallvägen 15,"Kode,          Kungälvs kommun",4 januari 2019,140,NaN,6,479 ,4 330 000 
1101,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",30 december 2018,90,NaN,3,1 007 ,3 000 000 
1102,Prästvägen 676,"Romelanda,          Kungälvs kommun",28 december 2018,222,NaN,5,1 329 ,4 150 000 
1103,Ranneberg  154,"Kärna,          Kungälvs kommun",27 december 2018,165,NaN,4,2 381 ,5 200 000 
1104,Ranneberg 155,"Kärna,          Kungälvs kommun",20 december 2018,155,155+42,Nan,2 299 ,4 500 000 
1105,Skålldal 140,"Bohuslän,          Kungälvs kommun",20 december 2018,266,266+42,8,1 036 ,4 300 000 
1106,Mariedalsvägen 1,"Kode,          Kungälvs kommun",19 december 2018,63,NaN,2,3 432 ,1 825 000 
1107,Mårdgatan 22,"Kungälv Centralt,          Kungälvs kommun",19 december 2018,158,NaN,6,940 ,5 900 000 
1108,Enskiftegatan 5,"Ytterby,          Kungälvs kommun",18 december 2018,194,NaN,7,884 ,4 800 000 
1109,Kvarndalsvägen 8C,"Lökeberg,          Kungälvs kommun",18 december 2018,155,NaN,5,1 659 ,7 050 000 
1110,Broberg 190,"Tjuvkil,          Kungälvs kommun",17 december 2018,67,NaN,4,1 755 ,2 000 000 
1111,Källeröd 210,"Kareby,          Kungälvs kommun",16 december 2018,121,121+159,5,2 455 ,2 550 000 
1112,Alelyckans väg 12,"Aröd,          Kungälvs kommun",12 december 2018,154,154+12,6,1 392 ,3 950 000 
1113,Kristinedalsgatan 5,"Kungälv,          Kungälvs kommun",8 december 2018,152,152+67,5,701 ,6 650 000 
1114,Bollestad 152,"Ytterby,          Kungälvs kommun",7 december 2018,169,169+74,7,1 762 ,4 500 000 
1115,Lingonvägen 41,"Jordliden Munkegärde,          Kungälvs kommun",7 december 2018,115,NaN,5,399 ,4 275 000 
1116,Häradsvägen 62,"Ytterby,          Kungälvs kommun",3 december 2018,130,NaN,7,390 ,3 800 000 
1117,Hammar 375,"Bohuslän,          Kungälvs kommun",1 december 2018,98,98+65,6,2 371 ,4 630 000 
1118,Skogsvägen  20,"Ingetorp,          Kungälvs kommun",29 november 2018,101,NaN,5,1 318 ,2 715 000 
1119,Harkeröd 310,"Hålta,          Kungälvs kommun",29 november 2018,71,71+59,5,1 245 ,3 050 000 
1120,Prästbol 165,"Aröd,          Kungälvs kommun",28 november 2018,171,NaN,6,2 805 ,5 700 000 
1121,Duvesjön 374,"Duvesjön,          Kungälvs kommun",27 november 2018,110,NaN,4,1 000 ,3 590 000 
1122,Ulvebackegatan 28,"Bohuslän,          Kungälvs kommun",26 november 2018,128,128+32,6,793 ,4 750 000 
1123,Hammar 310,"Bohuslän,          Kungälvs kommun",23 november 2018,124,NaN,5,1 035 ,3 200 000 
1124,Rostock 364,"Romelanda,          Kungälvs kommun",23 november 2018,140,NaN,5,1 148 ,5 100 000 
1125,Stenåldersgatan 6,"Ytterby,          Kungälvs kommun",23 november 2018,104,NaN,4,318 ,3 725 000 
1126,Torp 310,"Kareby,          Kungälvs kommun",21 november 2018,149,149+78,6,3 051 ,4 300 000 
1127,Tyftervägen 20,"Bohuslän,          Kungälvs kommun",21 november 2018,154,154+13,5,572 ,4 300 000 
1128,Harkvägen 357,"Ullstorp,          Kungälvs kommun",20 november 2018,111,NaN,4,572 ,5 000 000 
1129,Grindklykan 27,"Grinden,          Kungälvs kommun",18 november 2018,112,NaN,4,546 ,4 400 000 
1130,Häggvägen 10,"Ytterby,          Kungälvs kommun",18 november 2018,101,101+101,5,851 ,4 170 000 
1131,Hemmansgatan 11,"Tega,          Kungälvs kommun",18 november 2018,133,133+11,5,756 ,3 900 000 
1132,Komministergatan 3,"Kungälv - Centrum,          Kungälvs kommun",14 november 2018,120,120+80,7,678 ,5 950 000 
1133,Djupuddsvägen  30,"Instön,          Kungälvs kommun",12 november 2018,135,135+15,3,1 336 ,4 800 000 
1134,Staby 130,"Kärna,          Kungälvs kommun",9 november 2018,109,109+82,5,9 529 ,4 020 000 
1135,Munkegärdegatan 253,"Munkegärde,          Kungälvs kommun",9 november 2018,134,134+110,7,899 ,5 750 000 
1136,Rosenstensvägen 6,"Kode,          Kungälvs kommun",9 november 2018,123,NaN,5,485 ,3 700 000 
1137,Nerebyskogens väg 14,"Kärna - Harestad,          Kungälvs kommun",5 november 2018,33,NaN,2,1 821 ,1 380 000 
1138,Bergåsvägen 22,"Ytterby,          Kungälvs kommun",1 november 2018,153,153+40,7,710 ,4 500 000 
1139,Nordängen 10,"Sundhammar,          Kungälvs kommun",30 oktober 2018,174,174+16,5,1 331 ,4 900 000 
1140,Apelviksgatan 7,"Centrum,          Kungälvs kommun",29 oktober 2018,125,125+125,5,445 ,4 750 000 
1141,Ranneberg 170,"Romelanda,          Kungälvs kommun",29 oktober 2018,90,NaN,4,1 265 ,1 960 000 
1142,Vesslegatan 3,"Olseröd,          Kungälvs kommun",28 oktober 2018,131,131+12,4,376 ,4 500 000 
1143,Bärnstensvägen 6,"Kode,          Kungälvs kommun",26 oktober 2018,93,93+92,5,1 009 ,3 250 000 
1144,Solvagnsgatan 7,"Kungälv,          Kungälvs kommun",26 oktober 2018,137,137+8,6,362 ,5 175 000 
1145,Hallsbrovägen 3,"Bohuslän,          Kungälvs kommun",25 oktober 2018,74,NaN,3,1 801 ,2 500 000 
1146,Tjäderstigen 8,"Centralt - Kungälv,          Kungälvs kommun",24 oktober 2018,126,NaN,4,362 ,4 300 000 
1147,Tegskiftegatan 50,"Ytterby,          Kungälvs kommun",23 oktober 2018,112,112+57,5,856 ,4 000 000 
1148,Fontinvägen 12,"Centralt - Kungälv,          Kungälvs kommun",22 oktober 2018,231,NaN,9,1 269 ,6 600 000 
1149,Skårby station 355,"Kareby,          Kungälvs kommun",19 oktober 2018,150,NaN,4,2 260 ,4 140 000 
1150,Häljeröd 120,"Romelanda Diseröd,          Kungälvs kommun",18 oktober 2018,193,NaN,5,15 148 ,6 100 000 
1151,Ellesbovägen 204,"Kungälv,          Kungälvs kommun",17 oktober 2018,75,75+48,5,1 062 ,3 000 000 
1152,Olserödsgatan 106,"Olseröd,          Kungälvs kommun",15 oktober 2018,170,170+20,5,1 227 ,6 000 000 
1153,Äslingsvägen 7,"Tjuvkil,          Kungälvs kommun",12 oktober 2018,120,NaN,5,1 285 ,4 100 000 
1154,Åsebyberg 855,"Kode,          Kungälvs kommun",11 oktober 2018,129,129+18,5,4 105 ,3 850 000 
1155,Solvagnsgatan 30,"Stället,          Kungälvs kommun",5 oktober 2018,138,NaN,5,479 ,5 275 000 
1156,Guntorpsvägen 24,"Kode,          Kungälvs kommun",4 oktober 2018,110,110+100,5,1 065 ,2 975 000 
1157,Lerlycke 250,"Kärna,          Kungälvs kommun",3 oktober 2018,130,130+88,5,1 020 ,3 700 000 
1158,Olvonvägen 23,"Diseröd,          Kungälvs kommun",2 oktober 2018,222,222+98,7,1 000 ,3 600 000 
1159,Bockebergsvägen 2,"Lycke,          Kungälvs kommun",28 september 2018,49,49+10,4,1 386 ,1 850 000 
1160,Lerskärsvägen 21,"Tjuvkil,          Kungälvs kommun",27 september 2018,120,120+40,4,1 299 ,4 700 000 
1161,Valtersäng 35,"Centralt,          Kungälvs kommun",27 september 2018,159,159+40,6,650 ,6 120 000 
1162,Råckeröd 200,"Kärna,          Kungälvs kommun",25 september 2018,120,NaN,5,1 192 ,3 150 000 
1163,Västra gatan 26A,"Centralt,          Kungälvs kommun",25 september 2018,149,149+21,6,316 ,5 500 000 
1164,Gamla Kungälvsvägen 13,"Ytterby,          Kungälvs kommun",24 september 2018,176,176+87,8,1 862 ,6 800 000 
1165,Havregången 12,"Kungälv centralt,          Kungälvs kommun",19 september 2018,125,NaN,5,496 ,4 000 000 
1166,Lerskärsvägen 50,"Lycke,          Kungälvs kommun",13 september 2018,93,93+93,5,1 221 ,3 750 000 
1167,Rubinvägen 6,"Kode,          Kungälvs kommun",11 september 2018,108,108+114,5,1 123 ,3 650 000 
1168,Bastubäcksvägen 11,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",11 september 2018,78,78+15,3,1 225 ,3 100 000 
1169,Glose 110,"Glose,          Kungälvs kommun",10 september 2018,150,150+30,5,3 157 ,4 500 000 
1170,Bokvägen 3,"Kungälv centralt, Fontin.,          Kungälvs kommun",9 september 2018,184,184+128,8,781 ,5 350 000 
1171,Livelycke 290,"Bohuslän,          Kungälvs kommun",8 september 2018,163,NaN,6,2 941 ,3 820 000 
1172,Lilla Dalvägen 5,"Ödsmålsmosse,          Kungälvs kommun",6 september 2018,36,NaN,2,1 667 ,965 000 
1173,Grepvägen 403,"Ullstorp,          Kungälvs kommun",5 september 2018,121,NaN,5,526 ,5 250 000 
1174,Vävra 380,"Hålta,          Kungälvs kommun",5 september 2018,49,NaN,2,1 514 ,2 260 000 
1175,Stenåldersgatan 11,"Ytterby,          Kungälvs kommun",5 september 2018,103,NaN,4,440 ,3 900 000 
1176,Storskiftegatan 11,"Ytterby,          Kungälvs kommun",4 september 2018,90,90+40,4,188 ,3 375 000 
1177,Vältvägen 505,"Bohuslän,          Kungälvs kommun",3 september 2018,121,121+9,5,250 ,4 800 000 
1178,Lilla Fjellsholmen 14,"Lilla Fjellsholmen,          Kungälvs kommun",31 augusti 2018,86,NaN,4,418 ,6 700 000 
1179,Hammarhöjden 695,"Kode,          Kungälvs kommun",30 augusti 2018,83,83+28,3,1 053 ,2 750 000 
1180,Kärnavägen 16,"Kärna,          Kungälvs kommun",30 augusti 2018,171,171+83,7,695 ,4 120 000 
1181,Klintegatan 17,"Centralt - Kungälv,          Kungälvs kommun",30 augusti 2018,125,125+51,7,704 ,7 350 000 
1182,Stenåldersgatan 53,"Ytterby - Stället,          Kungälvs kommun",30 augusti 2018,107,NaN,5,381 ,4 050 000 
1183,Grepvägen 391,"Ullstorp,          Kungälvs kommun",29 augusti 2018,121,121+7,5,431 ,4 850 000 
1184,Duvesjön 310,"Duvesjön,          Kungälvs kommun",29 augusti 2018,101,NaN,4,1 454 ,2 800 000 
1185,Torsby 132,"Kärna,          Kungälvs kommun",29 augusti 2018,169,NaN,7,1 731 ,4 550 000 
1186,Kristinedalsgatan 7,"Centrum,          Kungälvs kommun",25 augusti 2018,178,178+85,6,857 ,7 125 000 
1187,Åsebyberg 745,"Åsebyberg,          Kungälvs kommun",24 augusti 2018,110,NaN,4,1 776 ,1 130 000 
1188,Korpvägen 259,"KUNGÄLV,          Kungälvs kommun",24 augusti 2018,139,139+18,6,437 ,5 500 000 
1189,Ställets bygata 76,"YTTERBY,          Kungälvs kommun",17 augusti 2018,147,NaN,6,1 070 ,4 925 000 
1190,Skeppsholmsgatan 2,"Centrum,          Kungälvs kommun",15 augusti 2018,121,NaN,5,913 ,6 300 000 
1191,Jägersberg 244,"Kode,          Kungälvs kommun",10 augusti 2018,120,NaN,3,2 003 ,3 850 000 
1192,Hammarhöjden 670,"Kode,          Kungälvs kommun",9 augusti 2018,100,100+47,2,1 090 ,3 230 000 
1193,Saltskärsvägen 10,"Tjuvkil,          Kungälvs kommun",29 juli 2018,64,NaN,2,3 440 ,2 300 000 
1194,Duvesjön 313,"Duvesjön,          Kungälvs kommun",26 juli 2018,87,NaN,3,1 191 ,3 300 000 
1195,Byvägen 18,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",18 juli 2018,60,60+42,4,1 509 ,1 850 000 
1196,Guntorpsvägen 2,"Kode,          Kungälvs kommun",17 juli 2018,129,129+70,7,734 ,3 150 000 
1197,Tjuvkil 510,"Tjuvkil,          Kungälvs kommun",12 juli 2018,90,90+98,4,2 575 ,2 550 000 
1198,Lundby 475,"Kareby,          Kungälvs kommun",10 juli 2018,141,NaN,5,2 024 ,4 680 000 
1199,Gunneröd 200,"Lycke,          Kungälvs kommun",9 juli 2018,58,58+25,2,789 ,2 400 000 
1200,Bufferöd 150,"Kungälv - Hålta,          Kungälvs kommun",7 juli 2018,130,130+130,6,1 209 ,4 550 000 
1201,Bäckliden 6A,"Bohuslän,          Kungälvs kommun",6 juli 2018,116,NaN,6,880 ,5 710 000 
1202,Dösebacka 310,"Romelanda,          Kungälvs kommun",6 juli 2018,102,102+97,4,949 ,3 450 000 
1203,Tegskiftegatan 20,"Ytterby,          Kungälvs kommun",6 juli 2018,102,102+102,6,969 ,4 525 000 
1204,Fjällsholmen 360,"KÄRNA,          Kungälvs kommun",1 juli 2018,62,NaN,3,1 780 ,3 110 000 
1205,Glöskär 640,"Bohuslän,          Kungälvs kommun",30 juni 2018,72,NaN,3,3 456 ,3 800 000 
1206,Skårby mosse 930,"Kareby,          Kungälvs kommun",21 juni 2018,167,167+20,7,1 299 ,3 800 000 
1207,Lundby 502,"Kareby,          Kungälvs kommun",21 juni 2018,137,NaN,4,4 214 ,4 550 000 
1208,Helgonagatan 50,"Munkegärde,          Kungälvs kommun",15 juni 2018,117,NaN,4,2 003 ,3 890 000 
1209,Heavägen 15,"Lycke,          Kungälvs kommun",15 juni 2018,177,NaN,6,2 041 ,5 000 000 
1210,Klåverön 460,"Marstrand,          Kungälvs kommun",15 juni 2018,76,76+76,4,2 303 ,4 300 000 
1211,Dannemarksgatan 42,"Ytterby,          Kungälvs kommun",14 juni 2018,148,NaN,6,641 ,4 800 000 
1212,Dösebacka 630,"Diseröd,          Kungälvs kommun",13 juni 2018,84,84+84,4,1 407 ,2 000 000 
1213,Bergsgatan 2,"Marstrand - Koön,          Kungälvs kommun",13 juni 2018,118,118+82,6,892 ,8 600 000 
1214,Flateby 120,"Kärna,          Kungälvs kommun",10 juni 2018,167,NaN,6,2 039 ,3 150 000 
1215,Väktaregatan 9,"Bohuslän,          Kungälvs kommun",8 juni 2018,166,166+83,8,538 ,5 300 000 
1216,Lundby 220,"Kareby,          Kungälvs kommun",7 juni 2018,146,146+45,5,1 943 ,4 650 000 
1217,Bremnäs 450,"Lycke,          Kungälvs kommun",6 juni 2018,52,NaN,2,1 616 ,2 400 000 
1218,Skrivarevägen 6,"Tunge,          Kungälvs kommun",5 juni 2018,104,NaN,4,162 ,3 400 000 
1219,Gunneröd 130,"Lycke,          Kungälvs kommun",4 juni 2018,47,NaN,2,1 333 ,1 700 000 
1220,Bastövägen 12,"Kärna,          Kungälvs kommun",3 juni 2018,80,80+80,6,1 024 ,4 200 000 
1221,Kuskalundsvägen 39,"Bohuslän,          Kungälvs kommun",2 juni 2018,59,59+13,3,1 745 ,2 270 000 
1222,Korpedalsvägen 3,"Aröd,          Kungälvs kommun",2 juni 2018,115,115+85,5,993 ,3 720 000 
1223,Nämndemansvägen 13,"Ytterby,          Kungälvs kommun",1 juni 2018,141,NaN,7,939 ,4 700 000 
1224,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",31 maj 2018,44,NaN,3,885 ,1 500 000 
1225,Fjällsholmen 190,"Marstrand,          Kungälvs kommun",31 maj 2018,80,NaN,4,2 750 ,5 200 000 
1226,Järpstigen 2,"Skälebräcke,          Kungälvs kommun",30 maj 2018,128,NaN,5,743 ,4 675 000 
1227,Solberga 790,"Kode,          Kungälvs kommun",30 maj 2018,70,70+60,4,1 380 ,3 550 000 
1228,Kulperödsvägen 31,"Gullbringa,          Kungälvs kommun",29 maj 2018,148,NaN,5,2 678 ,1 500 000 
1229,Vrångholmen 150,"Marstrand/Kråkerön,          Kungälvs kommun",25 maj 2018,185,185+34,6,2 207 ,11 000 000 
1230,Hemmansgatan 7,"Ytterby,          Kungälvs kommun",25 maj 2018,155,NaN,6,875 ,4 500 000 
1231,Bäckvägen 10,"Lökeberg,          Kungälvs kommun",24 maj 2018,55,55+5,4,1 091 ,3 910 000 
1232,Rörmossevägen 240,"Rörmossen,          Kungälvs kommun",22 maj 2018,58,58+15,3,5 170 ,2 215 000 
1233,Lievägen 228,"Kungälv Ullstorp,          Kungälvs kommun",22 maj 2018,125,125+10,4,250 ,4 750 000 
1234,Lökebergsvägen 18,"Lökeberg,          Kungälvs kommun",22 maj 2018,110,110+65,4,55 368 ,6 225 000 
1235,Hermansby 228,"Kärna,          Kungälvs kommun",17 maj 2018,165,165+58,5,1 503 ,5 825 000 
1236,Gräsgången 6,"Kungälv,          Kungälvs kommun",17 maj 2018,125,NaN,4,514 ,3 900 000 
1237,Gategården 260,"Risby/Hålta,          Kungälvs kommun",17 maj 2018,120,120+71,5,2 337 ,5 020 000 
1238,Brunnefjäll 110,"Kärna,          Kungälvs kommun",16 maj 2018,121,121+185,6,2 124 ,3 750 000 
1239,Sandvik 110,"HARESTAD,          Kungälvs kommun",16 maj 2018,153,153+36,5,998 ,3 400 000 
1240,Galeasgatan 15,"Kungälv,          Kungälvs kommun",14 maj 2018,103,103+64,5,610 ,3 500 000 
1241,Fasanstigen 8,"Skälebräcke,          Kungälvs kommun",7 maj 2018,128,NaN,5,362 ,4 250 000 
1242,Brunnefjäll 190,"Kärna,          Kungälvs kommun",7 maj 2018,83,83+50,4,1 536 ,2 810 000 
1243,Enekullsvägen 32,"Ytterby,          Kungälvs kommun",6 maj 2018,101,101+20,4,807 ,3 570 000 
1244,Dannemarksgatan 39,"Ytterby,          Kungälvs kommun",3 maj 2018,159,159+32,6,730 ,4 000 000 
1245,Byvägen 22,"Ödsmålsmosse,          Kungälvs kommun",2 maj 2018,43,43+24,3,1 930 ,2 500 000 
1246,Rådmansgatan 4,"Centrum,          Kungälvs kommun",30 april 2018,220,NaN,6,678 ,6 175 000 
1247,Bäck 250,"Romelanda,          Kungälvs kommun",19 april 2018,49,NaN,2,7 867 ,1 400 000 
1248,Rubinvägen 29,"KODE,          Kungälvs kommun",19 april 2018,195,NaN,Nan,746 ,4 200 000 
1249,Bokvägen 5,"Kungälv centralt,          Kungälvs kommun",6 april 2018,89,89+89,5,635 ,4 450 000 
1250,Gategården 182,"Hålta,          Kungälvs kommun",5 april 2018,240,240+50,8,1 484 ,4 020 000 
1251,Valtersäng 11,"Kungälv Centralt,          Kungälvs kommun",1 april 2018,162,NaN,Nan,808 ,5 495 000 
1252,Harkeröd,"Hålta,          Kungälvs kommun",30 mars 2018,98,NaN,3,818 ,795 000 
1253,Ulvesund 420,"Ytterby - Ulvesund,          Kungälvs kommun",29 mars 2018,47,NaN,2,1 043 ,1 650 000 
1254,Hallebäcksvägen 2,"Timmervik,          Kungälvs kommun",29 mars 2018,73,73+7,3,1 029 ,2 550 000 
1255,Snäckvägen 11,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",27 mars 2018,45,45+25,2,1 593 ,2 000 000 
1256,Bergkristallvägen 1,"Kode,          Kungälvs kommun",24 mars 2018,132,NaN,5,501 ,4 300 000 
1257,Hög 110,"Diseröd,          Kungälvs kommun",23 mars 2018,241,NaN,9,2 835 ,4 250 000 
1258,Rishammarvägen 32,"Kareby,          Kungälvs kommun",20 mars 2018,122,122+61,5,794 ,4 750 000 
1259,Svärdgatan 8,"Ytterby,          Kungälvs kommun",16 mars 2018,137,137+8,5,428 ,5 250 000 
1260,Rörmossevägen 140,"Rörmossen,          Kungälvs kommun",11 mars 2018,174,NaN,6,1 407 ,4 810 000 
1261,Dotorp 400,"Kärna,          Kungälvs kommun",10 mars 2018,114,114+54,5,5 650 ,4 200 000 
1262,Skomakarevägen 17,"Hålta,          Kungälvs kommun",9 mars 2018,178,178+24,6,2 018 ,3 730 000 
1263,Havregången 1,"Komarken,          Kungälvs kommun",9 mars 2018,147,NaN,6,504 ,3 900 000 
1264,Åldermansvägen 4,"Ytterby,          Kungälvs kommun",7 mars 2018,130,130+125,7,695 ,4 700 000 
1265,Jorsalagatan 1,"Iskällan,          Kungälvs kommun",27 februari 2018,119,119+97,7,891 ,4 300 000 
1266,Prästvägen 830,"Diseröd,          Kungälvs kommun",26 februari 2018,259,259+48,0,3 049 ,6 250 000 
1267,Länsmansvägen 24,"Ytterby,          Kungälvs kommun",23 februari 2018,126,126+85,4,915 ,4 600 000 
1268,Rättarevägen 11,"Ytterby,          Kungälvs kommun",21 februari 2018,105,105+122,6,477 ,4 780 000 
1269,Västerhöjdsvägen 44,"Bohuslän,          Kungälvs kommun",21 februari 2018,104,104+15,6,285 ,4 250 000 
1270,Hemvägen 15,"Diseröd,          Kungälvs kommun",20 februari 2018,138,NaN,5,Nan,3 450 000 
1271,Grindvakten 31,"Grinden,          Kungälvs kommun",14 februari 2018,121,NaN,5,448 ,3 700 000 
1272,Skardet 126,"Kode,          Kungälvs kommun",9 februari 2018,212,NaN,7,2 456 ,6 500 000 
1273,Arntorp 190,"Kareby,          Kungälvs kommun",8 februari 2018,85,85+92,4,1 048 ,2 735 000 
1274,Solskiftegatan 38,"Ytterby,          Kungälvs kommun",3 februari 2018,110,110+50,5,797 ,4 560 000 
1275,Torsbyvägen 22,"Ytterby,          Kungälvs kommun",3 februari 2018,170,170+53,7,1 650 ,4 800 000 
